15
    | c0 | c1 | c2 | c3 | c4 | c5 | c6 | c7 | c8 | c9 | c10 | c11 | c12 | c13 | c14 |
    _________________________________________________________________________________
c0  | -1 | 64 | 68 | 22 | 63 | 25 | 89 | 95 |  2 | 82 |  29 |  19 |  35 |  38 |  44 |
c1  | 64 | -1 | 36 | 20 | 71 | 96 | 85 | 40 | 81 | 76 |  72 |  46 |  65 |  29 |  12 |
c2  | 68 | 36 | -1 | 85 | 97 | 83 |  4 | 96 | 87 | 10 |  33 |  47 |  25 |  76 |  29 |
c3  | 22 | 20 | 85 | -1 | 82 | 46 | 52 | 71 | 42 | 28 |  30 |  52 |  15 |   8 |  30 |
c4  | 63 | 71 | 97 | 82 | -1 | 15 | 55 | 35 | 66 | 68 |   4 |  22 |  88 |  75 |  77 |
c5  | 25 | 96 | 83 | 46 | 15 | -1 | 100| 79 | 90 | 57 |  20 |  56 |  57 |  22 |   5 |
c6  | 89 | 85 |  4 | 52 | 55 | 100| -1 | 68 | 45 | 98 |  71 |  80 |  44 |  59 |  44 |
c7  | 95 | 40 | 96 | 71 | 35 | 79 | 68 | -1 | 20 | 54 |  69 |  89 |  92 |  96 |  64 |
c8  |  2 | 81 | 87 | 42 | 66 | 90 | 45 | 20 | -1 | 87 |   9 |  65 |  28 |  30 |  14 |
c9  | 82 | 76 | 10 | 28 | 68 | 57 | 98 | 54 | 87 | -1 |  16 |  29 |  66 |  38 |  39 |
c10 | 29 | 72 | 33 | 30 |  4 | 20 | 71 | 69 |  9 | 16 |  -1 |  42 |  60 |  36 |   7 |
c11 | 19 | 46 | 47 | 52 | 22 | 56 | 80 | 89 | 65 | 29 |  42 |  -1 |  37 |  94 |  41 |
c12 | 35 | 65 | 25 | 15 | 88 | 57 | 44 | 92 | 28 | 66 |  60 |  37 |  -1 |  19 |   5 |
c13 | 38 | 29 | 76 | 87 | 52 | 25 |  9 | 96 | 30 | 38 |  36 |  94 |  19 |  -1 |  19 |
c14 | 44 | 12 | 29 | 30 | 77 | 54 |  4 | 64 | 14 | 39 |   7 |   41|   5 |  19 |  -1 |

